G,G,G,G,G,G,Total Projected Points,Total Projected Ownership,Total Salary,Expected Value (%)
Ryan Gerard (42085952),Garrick Higgo (42085987),Nicolai Hojgaard (42085955),John Keefer (42085973),Max McGreevy (42085967),John Parry (42085980),458.69,104.68,49900,20.94
Nicolas Echavarria (42085983),Ryan Gerard (42085952),Rico Hoey (42085976),Mackenzie Hughes (42085979),John Keefer (42085973),Shane Lowry (42085951),461.28,104.18,49900,4.3
Rasmus Hojgaard (42085954),Tom Kim (42085985),Alex Smalley (42085966),Davis Thompson (42085963),Michael Thorbjornsen (42085957),Gary Woodland (42086003),448.3,77,50000,19.09
Christiaan Bezuidenhout (42085962),Max McGreevy (42085967),Keith Mitchell (42085956),Jordan L. Smith (42085972),Sami Valimaki (42085977),Matt Wallace (42085984),443.98,63.93,49000,28.85
Ryan Gerard (42085952),Seonghyeon Kim (42086004),Keith Mitchell (42085956),Sami Valimaki (42085977),Dylan Wu (42086012),Will Zalatoris (42085965),445.07,81.02,48800,1.95
Christiaan Bezuidenhout (42085962),Joel Dahmen (42086005),Ryan Gerard (42085952),Nicolai Hojgaard (42085955),Tom Kim (42085985),Jordan L. Smith (42085972),453.58,90.59,50000,9.53
Nicolai Hojgaard (42085955),Rasmus Hojgaard (42085954),Beau Hossler (42086010),Tom Kim (42085985),Shane Lowry (42085951),Andrew Putnam (42086015),445.09,85.05,49900,-5.86
Blades Brown (42086016),Nicolai Hojgaard (42085955),Mackenzie Hughes (42085979),Shane Lowry (42085951),Rasmus Neergaard-Petersen (42085958),Gary Woodland (42086003),442.88,77.51,49700,-0.23
Michael Brennan (42085992),Eric Cole (42085989),Ryan Gerard (42085952),Nicolai Hojgaard (42085955),Michael Thorbjornsen (42085957),Kris Ventura (42085994),452.48,101.15,50000,-3.22
Ryan Gerard (42085952),John Keefer (42085973),John Parry (42085980),Michael Thorbjornsen (42085957),Kris Ventura (42085994),Will Zalatoris (42085965),452.39,97.13,49800,-3.62
Chandler Blanchet (42086037),Ryan Gerard (42085952),Garrick Higgo (42085987),Rasmus Hojgaard (42085954),Hao-Tong Li (42085968),Max McGreevy (42085967),447.3,87.57,49200,-3.28
Ryan Gerard (42085952),Max McGreevy (42085967),Mac Meissner (42085969),John Parry (42085980),Seamus Power (42085978),Daniel Berger (42085960),456.2,93.61,49900,14.49
Garrick Higgo (42085987),Rico Hoey (42085976),Takumi Kanaya (42086011),Shane Lowry (42085951),Davis Thompson (42085963),Daniel Berger (42085960),448.69,72.96,49200,49.18
Garrick Higgo (42085987),Rico Hoey (42085976),Mackenzie Hughes (42085979),Brooks Koepka (42085959),Davis Thompson (42085963),Michael Thorbjornsen (42085957),438.28,69.96,49200,-5.09
Ryan Gerard (42085952),Rico Hoey (42085976),Nicolai Hojgaard (42085955),Matthieu Pavon (42086035),Michael Thorbjornsen (42085957),Sami Valimaki (42085977),451.17,106.18,50000,-23
Rico Hoey (42085976),Beau Hossler (42086010),Tom Kim (42085985),Shane Lowry (42085951),Keith Mitchell (42085956),Vince Whaley (42085996),445.89,68.95,48200,6.87
Ryan Gerard (42085952),Max Homa (42085970),Tom Kim (42085985),Shane Lowry (42085951),Mac Meissner (42085969),Kevin Roy (42086000),457,93.6,50000,6.07
Ryan Gerard (42085952),Nicolai Hojgaard (42085955),Takumi Kanaya (42086011),Shane Lowry (42085951),Kristoffer Reitan (42085974),John VanDerLaan (42086039),451.59,100.13,50000,-8.37
Ryan Gerard (42085952),Emiliano Grillo (42085995),Rico Hoey (42085976),Shane Lowry (42085951),Adrien Saddier (42086020),Alex Smalley (42085966),452.79,90.08,49400,19.66
Joel Dahmen (42086005),Ryan Gerard (42085952),Rico Hoey (42085976),Max McGreevy (42085967),Keith Mitchell (42085956),Kevin Yu (42085988),453.89,89.59,49100,29.92
Ryan Gerard (42085952),Beau Hossler (42086010),Stephan Jaeger (42085981),Rasmus Neergaard-Petersen (42085958),Michael Thorbjornsen (42085957),Kevin Yu (42085988),445.7,82.54,49700,8.62
Ricky Castillo (42085982),Ryan Gerard (42085952),Garrick Higgo (42085987),Max McGreevy (42085967),Mac Meissner (42085969),Rasmus Neergaard-Petersen (42085958),454.1,84.05,49800,21.79
Adrien Dumont De Chassart (42086013),Mackenzie Hughes (42085979),Shane Lowry (42085951),Rasmus Neergaard-Petersen (42085958),Sami Valimaki (42085977),Will Zalatoris (42085965),445.17,71.47,49300,16.21
Nicolas Echavarria (42085983),Nicolai Hojgaard (42085955),Shane Lowry (42085951),Mac Meissner (42085969),Adrien Saddier (42086020),Davis Thompson (42085963),453.29,88.59,50000,18.74
Adrien Dumont De Chassart (42086013),Rico Hoey (42085976),Rasmus Hojgaard (42085954),Hao-Tong Li (42085968),Shane Lowry (42085951),Mac Meissner (42085969),453.79,84.55,49900,11.87
Ryan Gerard (42085952),Garrick Higgo (42085987),Keith Mitchell (42085956),Alex Smalley (42085966),Adam Svensson (42086033),Daniel Berger (42085960),447.7,83.04,50000,7.91
Christiaan Bezuidenhout (42085962),Michael Brennan (42085992),Nicolai Hojgaard (42085955),Davis Thompson (42085963),Kris Ventura (42085994),Daniel Berger (42085960),448.77,78.01,50000,-2.12
