Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
10904,Ryan Gerard,Rasmus Hojgaard,Rasmus Neergaard-Petersen,Michael Brennan,Dylan Wu,Adam Svensson,48800,418.3,12.0,6.49
1737,Rasmus Hojgaard,Nicolai Hojgaard,Michael Thorbjornsen,Nicolas Echavarria,Garrick Higgo,Vince Whaley,49900,428.6,0.9,9.3
5069,Nicolai Hojgaard,Keith Mitchell,Will Zalatoris,Max McGreevy,John Keefer,John VanDerLaan,49500,423.9,8.9,8.69
5125,Nicolai Hojgaard,Keith Mitchell,Davis Thompson,Mac Meissner,Doug Ghim,Chad Ramey,49600,423.9,4.3,8.16
4546,Ryan Gerard,Thorbjorn Olesen,Will Zalatoris,Mac Meissner,Matt Wallace,Garrick Higgo,49300,424.5,2.9,8.31
6535,Ryan Gerard,Daniel Berger,Aaron Rai,Max McGreevy,Mac Meissner,John VanDerLaan,50000,422.4,10.4,8.17
1403,Shane Lowry,Ryan Gerard,Nicolai Hojgaard,Jesper Svensson,Dylan Wu,Karl Vilips,49600,429.4,-0.1,9.41
2283,Shane Lowry,Keith Mitchell,Michael Thorbjornsen,Michael Brennan,Vince Whaley,Adrien Dumont De Chassart,49500,427.6,3.8,8.43
5732,Shane Lowry,Nicolai Hojgaard,Thorbjorn Olesen,Max McGreevy,Kris Ventura,Christo Lamprecht,49600,423.2,8.1,7.58
4801,Shane Lowry,Ryan Gerard,Keith Mitchell,Nicolas Echavarria,Beau Hossler,Jackson Suber,49900,424.2,2.8,8.42
4559,Ryan Gerard,Rasmus Hojgaard,Keith Mitchell,Jordan L. Smith,Kris Ventura,Mark Hubbard,49900,424.5,8.2,7.4
2456,Ryan Gerard,Davis Thompson,Alex Smalley,Kristoffer Reitan,Rico Hoey,Takumi Kanaya,48800,427.3,4.4,8.1
7092,Shane Lowry,Ryan Gerard,Rico Hoey,Ricky Castillo,Austin Eckroat,Mark Hubbard,48300,421.9,5.9,7.69
7137,Shane Lowry,Rasmus Hojgaard,Nicolai Hojgaard,Max Homa,Beau Hossler,Chandler Blanchet,50000,421.8,4.9,8.1
8841,Shane Lowry,Nicolai Hojgaard,Michael Thorbjornsen,Matt Wallace,Lee Hodges,Chan Kim,49800,420.2,7.6,7.65
2224,Shane Lowry,Michael Thorbjornsen,Chris Kirk,Rico Hoey,Ricky Castillo,Matt Wallace,49500,427.7,1.2,8.89
5474,Ryan Gerard,Rasmus Neergaard-Petersen,Davis Thompson,Mackenzie Hughes,Matt Wallace,Zecheng Dou,49200,423.5,4.5,7.76
1671,Ryan Gerard,Keith Mitchell,Michael Thorbjornsen,Max McGreevy,Kris Ventura,Chandler Blanchet,50000,428.8,3.3,8.85
6505,Rasmus Hojgaard,Nicolai Hojgaard,Michael Thorbjornsen,Jordan L. Smith,Matt Wallace,Webb Simpson,50000,422.4,11.9,7.06
7585,Ryan Gerard,Rasmus Hojgaard,Michael Thorbjornsen,Emiliano Grillo,Gary Woodland,Chad Ramey,49500,421.4,8.9,7.18
5806,Shane Lowry,Rasmus Hojgaard,Michael Thorbjornsen,Rico Hoey,Zecheng Dou,Adam Svensson,49600,423.1,4.6,8.09
4269,Shane Lowry,Keith Mitchell,Daniel Berger,Kristoffer Reitan,Rico Hoey,Mark Hubbard,49800,424.8,4.3,8.22
7129,Shane Lowry,Rasmus Hojgaard,Rasmus Neergaard-Petersen,Matt Wallace,Vince Whaley,Seonghyeon Kim,50000,421.8,9.1,6.97
