Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
9474,Ryan Gerard,Keith Mitchell,Christiaan Bezuidenhout,Alex Smalley,Dylan Wu,William Mouw,49300,419.7,13.3,6.51
2173,Ryan Gerard,Rasmus Hojgaard,Nicolai Hojgaard,Kris Ventura,Vince Whaley,Beau Hossler,49800,427.9,8.1,7.65
874,Ryan Gerard,Nicolai Hojgaard,Thorbjorn Olesen,Mac Meissner,John Parry,Chad Ramey,50000,430.9,3.0,8.93
2600,Shane Lowry,Nicolai Hojgaard,Christiaan Bezuidenhout,Jordan L. Smith,Rico Hoey,Chandler Blanchet,49800,427.2,4.0,8.42
2091,Shane Lowry,Ryan Gerard,Rasmus Neergaard-Petersen,Nicolas Echavarria,Chad Ramey,Adrien Dumont De Chassart,49800,428.1,5.7,8.11
4329,Ryan Gerard,Nicolai Hojgaard,Davis Thompson,Joel Dahmen,Adrien Dumont De Chassart,Dylan Wu,48300,424.8,4.3,8.1
7146,Shane Lowry,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Matt Wallace,Gary Woodland,Takumi Kanaya,49700,421.8,9.0,7.03
1700,Ryan Gerard,Rasmus Hojgaard,Michael Thorbjornsen,Rico Hoey,Stephan Jaeger,Mark Hubbard,49900,428.8,3.0,8.75
3707,Shane Lowry,Ryan Gerard,Michael Thorbjornsen,Austin Eckroat,Vince Whaley,Matti Schmid,49800,425.6,4.2,8.37
6384,Ryan Gerard,Michael Thorbjornsen,Thorbjorn Olesen,Mac Meissner,Kris Ventura,Matti Schmid,49300,422.6,5.7,7.7
1591,Shane Lowry,Rasmus Hojgaard,Alex Smalley,Max McGreevy,Garrick Higgo,Matti Schmid,49900,429.0,1.8,8.93
5099,Shane Lowry,Nicolai Hojgaard,Mac Meissner,Rico Hoey,Gary Woodland,Chan Kim,48700,423.9,9.2,7.41
8880,Ryan Gerard,Rasmus Neergaard-Petersen,Davis Thompson,Mac Meissner,Chad Ramey,Takumi Kanaya,49200,420.3,12.1,6.52
4598,Ryan Gerard,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Kevin Yu,Jesper Svensson,Taylor Moore,49400,424.5,3.0,8.27
1428,Ryan Gerard,Michael Thorbjornsen,Max McGreevy,Sami Valimaki,Garrick Higgo,Vince Whaley,49100,429.3,-0.1,9.58
3948,Shane Lowry,Michael Thorbjornsen,Davis Thompson,Max McGreevy,Emiliano Grillo,Steven Fisk,50000,425.3,5.2,8.17
4901,Shane Lowry,Nicolai Hojgaard,Keith Mitchell,Sami Valimaki,Zecheng Dou,Webb Simpson,49800,424.1,5.8,8.29
6820,Shane Lowry,Rasmus Hojgaard,Jordan L. Smith,Rico Hoey,Seonghyeon Kim,Dylan Wu,48600,422.1,5.1,7.64
1861,Ryan Gerard,Nicolai Hojgaard,Keith Mitchell,Tom Kim,Jesper Svensson,Chan Kim,49600,428.5,3.9,8.84
3342,Ryan Gerard,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Max McGreevy,Takumi Kanaya,William Mouw,49800,426.1,10.4,7.51
9218,Ryan Gerard,Rasmus Hojgaard,Nicolai Hojgaard,Ricky Castillo,Matt Kuchar,Chandler Phillips,49800,419.9,8.9,7.14
348,Ryan Gerard,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Kristoffer Reitan,Michael Brennan,Beau Hossler,50000,433.3,-0.7,9.72
10520,Shane Lowry,Nicolai Hojgaard,Keith Mitchell,Garrick Higgo,Chan Kim,Chandler Blanchet,49100,418.8,17.5,5.95
3632,Ryan Gerard,Keith Mitchell,Alex Smalley,Ricky Castillo,Mackenzie Hughes,Chad Ramey,49200,425.7,8.2,7.4
2579,Ryan Gerard,Thorbjorn Olesen,Alex Smalley,John Keefer,Ricky Castillo,Garrick Higgo,49100,427.2,0.7,8.91
3866,Ryan Gerard,Michael Thorbjornsen,Thorbjorn Olesen,Rico Hoey,Michael Brennan,Isaiah Salinda,48800,425.4,2.2,8.49
5558,Shane Lowry,Nicolai Hojgaard,Ricky Castillo,John Parry,Garrick Higgo,Emiliano Grillo,48800,423.4,3.5,8.07
1184,Ryan Gerard,Nicolai Hojgaard,Keith Mitchell,Kristoffer Reitan,Nicolas Echavarria,Adam Svensson,50000,429.9,1.2,9.36
9011,Rasmus Hojgaard,Nicolai Hojgaard,Max McGreevy,Jordan L. Smith,Mackenzie Hughes,John VanDerLaan,48800,420.1,16.8,6.66
9391,Ryan Gerard,Michael Thorbjornsen,Mac Meissner,Rico Hoey,Steven Fisk,Chan Kim,48200,419.8,15.9,6.25
1647,Shane Lowry,Nicolai Hojgaard,Thorbjorn Olesen,Tom Kim,Matt Wallace,Garrick Higgo,49900,428.9,1.7,8.87
1879,Shane Lowry,Ryan Gerard,Rasmus Hojgaard,Doug Ghim,Adrien Dumont De Chassart,Matti Schmid,50000,428.5,3.8,8.39
2071,Shane Lowry,Ryan Gerard,Max McGreevy,Hao-Tong Li,Mackenzie Hughes,John VanDerLaan,49800,428.1,11.4,8.27
6677,Nicolai Hojgaard,Keith Mitchell,Max McGreevy,Stephan Jaeger,Matt Wallace,Vince Whaley,48900,422.3,5.4,7.86
6848,Shane Lowry,Ryan Gerard,Keith Mitchell,Jesper Svensson,Taylor Moore,Mark Hubbard,49200,422.1,9.1,7.13
5856,Shane Lowry,Michael Thorbjornsen,Max McGreevy,Mac Meissner,Matt Wallace,William Mouw,49200,423.1,8.1,7.71
3732,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Davis Thompson,Alex Smalley,Michael Brennan,Steven Fisk,49500,425.5,5.3,8.03
7903,Ryan Gerard,Rasmus Hojgaard,Michael Thorbjornsen,Matt Wallace,Steven Fisk,Taylor Moore,49600,421.2,12.2,6.66
6129,Ryan Gerard,Nicolai Hojgaard,Garrick Higgo,Michael Brennan,Kris Ventura,Daniel Brown,48000,422.8,4.4,7.89
2081,Ryan Gerard,Rasmus Hojgaard,Rico Hoey,Mackenzie Hughes,Michael Brennan,Dylan Wu,48300,428.1,3.6,8.32
1358,Ryan Gerard,Rasmus Hojgaard,Jordan L. Smith,Rico Hoey,Ricky Castillo,Doug Ghim,49500,429.5,0.5,8.97
5605,Ryan Gerard,Nicolai Hojgaard,Hao-Tong Li,Jordan L. Smith,Tom Kim,Webb Simpson,49100,423.3,3.5,8.94
7415,Shane Lowry,Keith Mitchell,Rasmus Neergaard-Petersen,Matt Wallace,Michael Brennan,Adrien Saddier,49600,421.6,14.1,6.42
2291,Shane Lowry,Rasmus Neergaard-Petersen,Davis Thompson,Kristoffer Reitan,Rico Hoey,Gary Woodland,49900,427.7,2.4,8.37
2988,Ryan Gerard,Nicolai Hojgaard,Daniel Berger,Chris Kirk,Gary Woodland,Chad Ramey,49800,426.6,1.9,9.07
6441,Rasmus Hojgaard,Nicolai Hojgaard,Will Zalatoris,Alex Smalley,Kris Ventura,Chad Ramey,49700,422.5,4.8,8.12
5580,Shane Lowry,Ryan Gerard,Tom Kim,Matt Wallace,Gary Woodland,Adrien Dumont De Chassart,48200,423.4,4.4,7.92
6546,Ryan Gerard,Rasmus Hojgaard,Michael Thorbjornsen,Tom Kim,Doug Ghim,John VanDerLaan,49600,422.4,13.8,7.32
1100,Shane Lowry,Nicolai Hojgaard,Kristoffer Reitan,Rico Hoey,Garrick Higgo,Zecheng Dou,48800,430.2,-0.4,9.31
2209,Shane Lowry,Ryan Gerard,Michael Thorbjornsen,Kristoffer Reitan,Chad Ramey,Austin Smotherman,49900,427.9,3.6,8.55
5166,Ryan Gerard,Rasmus Hojgaard,Will Zalatoris,Kristoffer Reitan,Kevin Yu,Chad Ramey,49500,423.8,5.2,7.98
985,Shane Lowry,Ryan Gerard,Daniel Berger,Rico Hoey,Takumi Kanaya,Adrien Dumont De Chassart,49800,430.5,2.4,8.91
8956,Ryan Gerard,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Garrick Higgo,Emiliano Grillo,Christo Lamprecht,49100,420.2,11.7,6.65
3194,Keith Mitchell,Michael Thorbjornsen,Alex Smalley,Max McGreevy,Mackenzie Hughes,Vince Whaley,49600,426.3,1.2,8.95
3689,Shane Lowry,Keith Mitchell,Davis Thompson,Jordan L. Smith,Kristoffer Reitan,Matti Schmid,50000,425.6,4.5,7.95
6405,Shane Lowry,Michael Thorbjornsen,Max McGreevy,Mackenzie Hughes,Jesper Svensson,Chad Ramey,48700,422.6,4.3,8.16
1106,Shane Lowry,Ryan Gerard,Rico Hoey,Ricky Castillo,Jesper Svensson,Zecheng Dou,48600,430.2,-0.0,9.14
9711,Ryan Gerard,Rasmus Neergaard-Petersen,Max McGreevy,Kristoffer Reitan,Dylan Wu,Matti Schmid,48200,419.5,9.1,6.94
5963,Shane Lowry,Ryan Gerard,Chris Kirk,Rico Hoey,Austin Eckroat,Chan Kim,49100,423.0,4.5,8.27
9468,Shane Lowry,Rasmus Hojgaard,Nicolai Hojgaard,Kevin Yu,Daniel Brown,William Mouw,49800,419.7,11.3,6.84
3481,Ryan Gerard,Michael Thorbjornsen,Rico Hoey,Garrick Higgo,Kevin Yu,Jesper Svensson,48100,425.9,1.8,8.53
9909,Ryan Gerard,Keith Mitchell,Daniel Berger,Kristoffer Reitan,Vince Whaley,Webb Simpson,49400,419.3,15.4,6.32
4302,Shane Lowry,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Tom Kim,Vince Whaley,Beau Hossler,49800,424.8,5.1,8.05
8102,Ryan Gerard,Michael Thorbjornsen,Will Zalatoris,Alex Smalley,Adrien Dumont De Chassart,William Mouw,48900,421.0,7.2,7.75
6665,Shane Lowry,Ryan Gerard,Alex Smalley,Kris Ventura,Gary Woodland,Adrien Saddier,48800,422.3,14.5,6.43
2145,Shane Lowry,Ryan Gerard,Christiaan Bezuidenhout,Rico Hoey,Matt Wallace,Sudarshan Yellamaraju,49900,428.0,0.4,8.95
10173,Shane Lowry,Rasmus Hojgaard,Nicolai Hojgaard,Chad Ramey,Adrien Dumont De Chassart,Keita Nakajima,49200,419.1,17.9,5.94
4622,Ryan Gerard,Rasmus Hojgaard,Thorbjorn Olesen,Tom Kim,Matt Wallace,Kris Ventura,49700,424.5,4.0,8.04
4950,Ryan Gerard,Nicolai Hojgaard,Hao-Tong Li,Michael Brennan,Chad Ramey,Adrien Dumont De Chassart,48100,424.1,2.5,8.8
4448,Shane Lowry,Nicolai Hojgaard,Keith Mitchell,Tom Kim,Chad Ramey,Taylor Moore,49800,424.7,5.4,8.12
3701,Ryan Gerard,Nicolai Hojgaard,Davis Thompson,Garrick Higgo,Kevin Roy,Beau Hossler,49000,425.6,3.0,8.33
7687,Shane Lowry,Keith Mitchell,Max McGreevy,Ricky Castillo,Chad Ramey,Adrien Dumont De Chassart,48600,421.4,8.9,7.13
8643,Ryan Gerard,Keith Mitchell,Davis Thompson,Mackenzie Hughes,Stephan Jaeger,Webb Simpson,49300,420.5,12.0,6.72
1443,Ryan Gerard,Nicolai Hojgaard,Rico Hoey,Ricky Castillo,Mackenzie Hughes,Beau Hossler,48600,429.3,3.4,8.46
8273,Shane Lowry,Rasmus Hojgaard,Nicolai Hojgaard,John Parry,Steven Fisk,Adam Svensson,49700,420.8,11.8,6.87
8624,Shane Lowry,Rasmus Hojgaard,Jordan L. Smith,Mackenzie Hughes,Stephan Jaeger,Vince Whaley,49300,420.5,6.7,7.29
989,Shane Lowry,Ryan Gerard,Alex Smalley,Matt Wallace,Garrick Higgo,Dylan Wu,49400,430.5,7.7,7.71
8699,Ryan Gerard,Rasmus Hojgaard,Max McGreevy,Michael Brennan,Emiliano Grillo,William Mouw,48300,420.4,8.8,7.35
6892,Shane Lowry,Ryan Gerard,Rasmus Neergaard-Petersen,Jesper Svensson,Steven Fisk,Matti Schmid,49300,422.1,12.6,6.56
2446,Shane Lowry,Michael Thorbjornsen,Davis Thompson,Rico Hoey,John Parry,Takumi Kanaya,49700,427.4,1.6,8.8
3023,Shane Lowry,Nicolai Hojgaard,Davis Thompson,Jordan L. Smith,Ricky Castillo,Mark Hubbard,49600,426.5,6.8,7.78
3444,Shane Lowry,Ryan Gerard,Michael Thorbjornsen,Alex Smalley,Mark Hubbard,John VanDerLaan,49900,425.9,21.9,6.28
223,Shane Lowry,Ryan Gerard,Alex Smalley,Rico Hoey,Mackenzie Hughes,Matti Schmid,49700,434.4,2.1,9.08
7734,Ryan Gerard,Keith Mitchell,Michael Thorbjornsen,Vince Whaley,Kevin Roy,Chad Ramey,49300,421.3,10.8,6.9
586,Shane Lowry,Nicolai Hojgaard,Davis Thompson,Rico Hoey,Kris Ventura,Seonghyeon Kim,49700,432.0,-0.7,9.55
4821,Shane Lowry,Ryan Gerard,Nicolai Hojgaard,Vince Whaley,Isaiah Salinda,Austin Smotherman,49200,424.2,6.2,7.79
2311,Ryan Gerard,Nicolai Hojgaard,Keith Mitchell,Stephan Jaeger,Joel Dahmen,Steven Fisk,49800,427.7,3.3,8.69
9053,Shane Lowry,Ryan Gerard,Thorbjorn Olesen,Ricky Castillo,Daniel Brown,Adrien Saddier,49500,420.1,16.4,5.99
5302,Shane Lowry,Davis Thompson,Max McGreevy,Stephan Jaeger,Matt Wallace,Garrick Higgo,48900,423.7,3.2,8.13
4091,Shane Lowry,Ryan Gerard,Hao-Tong Li,Rico Hoey,Kevin Yu,Keita Nakajima,49300,425.1,6.5,8.11
2751,Ryan Gerard,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Mac Meissner,Seonghyeon Kim,Keita Nakajima,49900,426.9,6.3,8.18
2905,Shane Lowry,Ryan Gerard,Max Homa,Kristoffer Reitan,Garrick Higgo,Beau Hossler,49400,426.7,1.6,8.73

GOLFER EXPOSURE
Golfer,Lineups,Exposure % (of 150)
Ryan Gerard,105,70.0
Nicolai Hojgaard,65,43.3
Shane Lowry,64,42.7
Rasmus Hojgaard,36,24.0
Michael Thorbjornsen,31,20.7
Keith Mitchell,30,20.0
Rico Hoey,27,18.0
Garrick Higgo,23,15.3
Vince Whaley,21,14.0
Rasmus Neergaard-Petersen,20,13.3
Davis Thompson,19,12.7
Max McGreevy,19,12.7
Alex Smalley,19,12.7
Chad Ramey,17,11.3
Kristoffer Reitan,17,11.3
Matt Wallace,17,11.3
Thorbjorn Olesen,17,11.3
Jordan L. Smith,16,10.7
Ricky Castillo,16,10.7
Dylan Wu,16,10.7
Mackenzie Hughes,15,10.0
Mac Meissner,14,9.3
Michael Brennan,13,8.7
Adrien Dumont De Chassart,12,8.0
Gary Woodland,10,6.7
Kris Ventura,9,6.0
Adrien Saddier,9,6.0
William Mouw,9,6.0
Matti Schmid,9,6.0
Jesper Svensson,9,6.0
Tom Kim,9,6.0
Steven Fisk,8,5.3
Beau Hossler,8,5.3
Webb Simpson,8,5.3
Takumi Kanaya,8,5.3
Chan Kim,8,5.3
Nicolas Echavarria,7,4.7
Doug Ghim,7,4.7
Keita Nakajima,7,4.7
Emiliano Grillo,7,4.7
Kevin Yu,7,4.7
Taylor Moore,7,4.7
Stephan Jaeger,7,4.7
John Parry,6,4.0
Hao-Tong Li,6,4.0
Daniel Berger,5,3.3
