Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
591,Dustin Johnson,Tyrrell Hatton,Louis Oosthuizen,Abraham Ancer,Ian Poulter,Matt Jones,48400,546.6,1.8,6.43
2367,Jon Rahm,Brooks Koepka,Lee Westwood,Francesco Molinari,Robert Macintyre,Matt Jones,48800,542.3,14.9,4.38
5856,Justin Thomas,Webb Simpson,Tyrrell Hatton,Viktor Hovland,Brian Harman,Robert Streb,50000,538.3,9.2,6.11
336,Dustin Johnson,Patrick Reed,Tony Finau,Ian Poulter,Zach Johnson,Tyler Strafaci,49200,548.0,40.3,3.92
539,Jon Rahm,Collin Morikawa,Brooks Koepka,Billy Horschel,Lanto Griffin,Matt Jones,49700,546.9,1.0,6.26
1527,Dustin Johnson,Tyrrell Hatton,Daniel Berger,Scottie Scheffler,Ryan Palmer,Stewart Cink,49900,543.9,3.3,6.4
4722,Jon Rahm,Patrick Reed,Tyrrell Hatton,Francesco Molinari,Cameron Champ,Zach Johnson,49100,539.4,9.9,4.93
6380,Dustin Johnson,Jon Rahm,Will Zalatoris,Brian Harman,Zach Johnson,Hudson Swafford,49100,537.8,14.0,5.95
6629,Bryson DeChambeau,Justin Thomas,Tony Finau,Ian Poulter,Carlos Ortiz,Robert Streb,49800,537.6,14.9,5.17
126,Dustin Johnson,Tyrrell Hatton,Lee Westwood,Francesco Molinari,Jason Kokrak,Gary Woodland,49900,550.0,8.2,5.3
804,Jon Rahm,Rory McIlroy,Tyrrell Hatton,Jason Kokrak,Christiaan Bezuidenhout,Mackenzie Hughes,50000,545.8,10.5,5.27
6422,Dustin Johnson,Justin Thomas,Billy Horschel,Marc Leishman,Ian Poulter,Mackenzie Hughes,49300,537.8,8.5,5.42
2564,Dustin Johnson,Patrick Reed,Sungjae Im,Louis Oosthuizen,Robert Macintyre,Mackenzie Hughes,49700,542.0,8.9,5.69
570,Dustin Johnson,Bryson DeChambeau,Viktor Hovland,Lanto Griffin,Zach Johnson,Mackenzie Hughes,50000,546.7,4.4,6.29
822,Patrick Reed,Brooks Koepka,Tony Finau,Viktor Hovland,Carlos Ortiz,Matt Jones,49100,545.8,-1.3,6.72
57,Dustin Johnson,Tony Finau,Scottie Scheffler,Francesco Molinari,Brian Harman,Ian Poulter,49600,551.5,0.4,6.65
6505,Jon Rahm,Collin Morikawa,Bubba Watson,Harris English,Victor Perez,Robert Macintyre,49200,537.7,13.5,4.49
1809,Jon Rahm,Bryson DeChambeau,Sungjae Im,Jason Kokrak,Mackenzie Hughes,Brendon Todd,49800,543.3,2.0,6.76
6173,Dustin Johnson,Rory McIlroy,Billy Horschel,Jason Kokrak,Si Woo Kim,Tyler Strafaci,48700,538.0,33.1,4.48
5921,Dustin Johnson,Justin Thomas,Justin Rose,Max Homa,Ian Poulter,Martin Laird,49500,538.2,26.0,4.18
3005,Jon Rahm,Tyrrell Hatton,Scottie Scheffler,Max Homa,Francesco Molinari,Brendon Todd,48600,541.4,9.3,4.98
