G,G,G,G,G,G
Scottie Scheffler (42046021),Maverick McNealy (42046040),Ryan Gerard (42046056),Taylor Pendrith (42046057),J.T. Poston (42046059),Tom Kim (42046087)
Rory McIlroy (42046022),Ben Griffin (42046034),Keegan Bradley (42046047),Harry Hall (42046053),Pierceson Coody (42046054),Taylor Pendrith (42046057)
Hideki Matsuyama (42046026),Ludvig Aberg (42046038),Robert MacIntyre (42046039),Maverick McNealy (42046040),Sepp Straka (42046044),Shane Lowry (42046045)
Scottie Scheffler (42046021),Sepp Straka (42046044),Jason Day (42046046),Ryan Gerard (42046056),Ryan Fox (42046076),Garrick Higgo (42046080)
Scottie Scheffler (42046021),Maverick McNealy (42046040),Min Woo Lee (42046048),Daniel Berger (42046065),Matthew McCarty (42046073),Max McGreevy (42046075)
Tommy Fleetwood (42046023),Sam Burns (42046032),Adam Scott (42046043),Sepp Straka (42046044),Keegan Bradley (42046047),Pierceson Coody (42046054)
Scottie Scheffler (42046021),Maverick McNealy (42046040),Min Woo Lee (42046048),Harry Hall (42046053),Garrick Higgo (42046080),Tom Kim (42046087)
Collin Morikawa (42046027),Chris Gotterup (42046033),Jake Knapp (42046035),Maverick McNealy (42046040),Jason Day (42046046),Kurt Kitayama (42046055)
Collin Morikawa (42046027),Sam Burns (42046032),Ben Griffin (42046034),Justin Rose (42046041),Nick Taylor (42046052),J.T. Poston (42046059)
Si Woo Kim (42046029),Cameron Young (42046030),Maverick McNealy (42046040),Harris English (42046042),J.J. Spaun (42046051),J.T. Poston (42046059)
Russell Henley (42046025),Si Woo Kim (42046029),Rickie Fowler (42046036),Adam Scott (42046043),Nick Taylor (42046052),Alex Noren (42046060)
Rory McIlroy (42046022),Matt Fitzpatrick (42046037),Maverick McNealy (42046040),Keegan Bradley (42046047),Pierceson Coody (42046054),Patrick Rodgers (42046064)
Xander Schauffele (42046024),Patrick Cantlay (42046028),Viktor Hovland (42046031),J.J. Spaun (42046051),Pierceson Coody (42046054),Patrick Rodgers (42046064)
Tommy Fleetwood (42046023),Patrick Cantlay (42046028),Harris English (42046042),Keegan Bradley (42046047),Nick Taylor (42046052),Harry Hall (42046053)
Rory McIlroy (42046022),Viktor Hovland (42046031),Robert MacIntyre (42046039),Keegan Bradley (42046047),Wyndham Clark (42046061),Garrick Higgo (42046080)
Tommy Fleetwood (42046023),Russell Henley (42046025),Matt Fitzpatrick (42046037),Harris English (42046042),Ryan Gerard (42046056),Rico Hoey (42046072)
Rory McIlroy (42046022),Cameron Young (42046030),Justin Rose (42046041),Harris English (42046042),Pierceson Coody (42046054),Garrick Higgo (42046080)
Rory McIlroy (42046022),Xander Schauffele (42046024),Maverick McNealy (42046040),Keegan Bradley (42046047),Jacob Bridgeman (42046066),Marco Penge (42046086)
Scottie Scheffler (42046021),Maverick McNealy (42046040),Kurt Kitayama (42046055),J.T. Poston (42046059),Denny McCarthy (42046071),Marco Penge (42046086)
Scottie Scheffler (42046021),Harris English (42046042),Keegan Bradley (42046047),Patrick Rodgers (42046064),Sam Stevens (42046069),Nicolas Echavarria (42046082)
Si Woo Kim (42046029),Cameron Young (42046030),Jake Knapp (42046035),Robert MacIntyre (42046039),Keegan Bradley (42046047),Ryan Gerard (42046056)
Xander Schauffele (42046024),Chris Gotterup (42046033),Matt Fitzpatrick (42046037),Justin Rose (42046041),Harris English (42046042),Jacob Bridgeman (42046066)
Tommy Fleetwood (42046023),Si Woo Kim (42046029),Jake Knapp (42046035),Min Woo Lee (42046048),Sahith Theegala (42046063),Jacob Bridgeman (42046066)
Xander Schauffele (42046024),Russell Henley (42046025),Matt Fitzpatrick (42046037),Keegan Bradley (42046047),Nick Taylor (42046052),Matthew McCarty (42046073)
Hideki Matsuyama (42046026),Rickie Fowler (42046036),Matt Fitzpatrick (42046037),Ludvig Aberg (42046038),J.J. Spaun (42046051),J.T. Poston (42046059)
Rory McIlroy (42046022),Cameron Young (42046030),Ben Griffin (42046034),Jordan Spieth (42046049),Matthew McCarty (42046073),Garrick Higgo (42046080)
Scottie Scheffler (42046021),Jordan Spieth (42046049),J.J. Spaun (42046051),J.T. Poston (42046059),Wyndham Clark (42046061),Garrick Higgo (42046080)
Scottie Scheffler (42046021),Harris English (42046042),Min Woo Lee (42046048),Ryan Gerard (42046056),Sahith Theegala (42046063),Tom Kim (42046087)
Cameron Young (42046030),Sam Burns (42046032),Ben Griffin (42046034),Harris English (42046042),Sepp Straka (42046044),Min Woo Lee (42046048)
Scottie Scheffler (42046021),Harris English (42046042),Nick Taylor (42046052),Pierceson Coody (42046054),Max McGreevy (42046075),Michael Kim (42046079)
Rory McIlroy (42046022),Jake Knapp (42046035),Justin Rose (42046041),Harris English (42046042),Kurt Kitayama (42046055),Sahith Theegala (42046063)
Rory McIlroy (42046022),Justin Rose (42046041),Harris English (42046042),Adam Scott (42046043),Min Woo Lee (42046048),Patrick Rodgers (42046064)
Rory McIlroy (42046022),Xander Schauffele (42046024),Harris English (42046042),Ryan Gerard (42046056),Taylor Pendrith (42046057),Rico Hoey (42046072)
Hideki Matsuyama (42046026),Si Woo Kim (42046029),Rickie Fowler (42046036),Matt Fitzpatrick (42046037),Min Woo Lee (42046048),Bud Cauley (42046084)
Cameron Young (42046030),Chris Gotterup (42046033),Ben Griffin (42046034),Maverick McNealy (42046040),Sepp Straka (42046044),Kurt Kitayama (42046055)
Russell Henley (42046025),Hideki Matsuyama (42046026),Sam Burns (42046032),Keegan Bradley (42046047),Kurt Kitayama (42046055),Sam Stevens (42046069)
Scottie Scheffler (42046021),Keegan Bradley (42046047),Min Woo Lee (42046048),Pierceson Coody (42046054),Sahith Theegala (42046063),Marco Penge (42046086)
Xander Schauffele (42046024),Hideki Matsuyama (42046026),Justin Rose (42046041),Adam Scott (42046043),Taylor Pendrith (42046057),Daniel Berger (42046065)
