Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
8709,Xander Schauffele,Justin Thomas,Sergio Garcia,Ryan Palmer,Lanto Griffin,Sebastian Munoz,49200,384.7,0.8,10.6
5710,Xander Schauffele,Bryson DeChambeau,Adam Scott,Will Zalatoris,Jason Kokrak,Eric Axley,50000,390.5,2.4,5.5
6295,Bryson DeChambeau,Tony Finau,Daniel Berger,Harris English,Shane Lowry,Chan Kim,50000,389.2,2.0,7.25
10283,Justin Thomas,Matthew Fitzpatrick,Hideki Matsuyama,Harris English,Bubba Watson,Abraham Ancer,49000,381.9,0.1,10.13
10214,Xander Schauffele,Rory McIlroy,Will Zalatoris,Billy Horschel,Lanto Griffin,Jason Bohn,49100,382.0,0.1,6.17
2396,Dustin Johnson,Patrick Reed,Will Zalatoris,Matthew Wolff,Harris English,Brad Kennedy,50000,399.0,4.6,9.71
3650,Jon Rahm,Patrick Reed,Hideki Matsuyama,Will Zalatoris,Lee Westwood,Mackenzie Hughes,50000,395.1,3.6,8.78
5817,Justin Thomas,Bryson DeChambeau,Joaquin Niemann,Anirban Lahiri,Ryan Palmer,Billy Horschel,50000,390.2,2.3,7.03
7990,Rory McIlroy,Daniel Berger,Collin Morikawa,Matthew Wolff,Ryan Palmer,Brendon Todd,49900,386.0,1.2,11.16
8672,Dustin Johnson,Jon Rahm,Ryan Palmer,Shane Lowry,Lanto Griffin,Erik Van Rooyen,50000,384.8,0.9,10.14
4788,Daniel Berger,Cameron Smith,Matthew Fitzpatrick,Will Zalatoris,Louis Oosthuizen,Harris English,49900,392.4,2.9,12.65
6411,Bryson DeChambeau,Viktor Hovland,Joaquin Niemann,Will Zalatoris,Carlos Ortiz,Erik Van Rooyen,48900,389.0,2.0,14.42
4573,Justin Thomas,Viktor Hovland,Will Zalatoris,Louis Oosthuizen,Harris English,Thomas Detry,49900,392.9,3.0,11.49
10036,Justin Thomas,Sungjae Im,Joaquin Niemann,Louis Oosthuizen,Harris English,Kevin Kisner,49800,382.3,0.2,13.88
6768,Bryson DeChambeau,Tony Finau,Adam Scott,Joaquin Niemann,Will Zalatoris,Min Woo Lee,50000,388.3,1.8,7.99
5421,Jon Rahm,Justin Thomas,Matthew Wolff,Billy Horschel,Lanto Griffin,Mackenzie Hughes,49300,391.0,2.5,10.9
4850,Bryson DeChambeau,Patrick Reed,Max Homa,Adam Scott,Harris English,Mackenzie Hughes,49800,392.3,2.8,10.37
6016,Dustin Johnson,Xander Schauffele,Harris English,Ryan Palmer,Erik Van Rooyen,Sebastian Saavedra,49300,389.8,2.2,5.92
6567,Bryson DeChambeau,Tyrrell Hatton,Patrick Reed,Jason Kokrak,Abraham Ancer,Erik Van Rooyen,48800,388.7,1.9,10.93
10227,Xander Schauffele,Patrick Reed,Webb Simpson,Matthew Wolff,Billy Horschel,JC Ritchie,49800,382.0,0.1,5.51
