Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
1988,Shane Lowry,Keith Mitchell,Daniel Berger,Ricky Castillo,Michael Brennan,Vince Whaley,49900,426.8,2.9,8.55
2172,Shane Lowry,Keith Mitchell,Kristoffer Reitan,Rico Hoey,Mackenzie Hughes,Kris Ventura,49200,426.3,3.2,8.16
1220,Ryan Gerard,Rasmus Hojgaard,Keith Mitchell,Rico Hoey,Vince Whaley,Adam Hadwin,49900,428.6,1.8,8.82
7613,Keith Mitchell,Michael Thorbjornsen,Alex Smalley,Rico Hoey,Chad Ramey,Adrien Dumont De Chassart,48100,418.3,8.8,6.95
937,Ryan Gerard,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Kristoffer Reitan,Michael Brennan,Keita Nakajima,49800,429.4,7.0,8.17
3495,Ryan Gerard,Michael Thorbjornsen,Will Zalatoris,Rico Hoey,Mackenzie Hughes,Webb Simpson,49100,424.0,7.9,7.85
246,Shane Lowry,Nicolai Hojgaard,Davis Thompson,Max McGreevy,Michael Brennan,Mark Hubbard,49700,433.3,-0.2,9.96
4764,Ryan Gerard,Rasmus Hojgaard,Nicolai Hojgaard,Max Homa,Adrien Saddier,Sudarshan Yellamaraju,49800,422.1,5.2,8.27
2636,Shane Lowry,Ryan Gerard,Will Zalatoris,Rico Hoey,Doug Ghim,Adam Svensson,49500,425.4,3.4,8.5
4708,Shane Lowry,Nicolai Hojgaard,Davis Thompson,Tom Kim,Matt Wallace,John VanDerLaan,49100,422.1,18.8,6.44
5920,Shane Lowry,Ryan Gerard,Michael Thorbjornsen,Matt Wallace,Adrien Saddier,Zachary Bauchou,49500,420.5,12.9,6.67
2628,Ryan Gerard,Rasmus Hojgaard,Christiaan Bezuidenhout,Mac Meissner,Joel Dahmen,Dylan Wu,49700,425.4,0.5,8.92
2313,Ryan Gerard,Rasmus Hojgaard,Max McGreevy,John Parry,Matt Wallace,Beau Hossler,49200,426.0,2.0,8.67
1835,Ryan Gerard,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Sami Valimaki,Ricky Castillo,Mark Hubbard,49700,427.1,3.9,8.51
8458,Ryan Gerard,Michael Thorbjornsen,Kristoffer Reitan,Sami Valimaki,Vince Whaley,Adrien Saddier,48000,417.1,14.5,6.36
