#,G,G,G,G,G,G,Salary,Proj,Mean Payout,ROI%
78,Max McGreevy,Christiaan Bezuidenhout,Alex Smalley,Max Homa,Lee Hodges,Zecheng Dou,"$48,600",239.7,$18.10,+262.0%
79,Shane Lowry,Nicolas Echavarria,Billy Horschel,Taylor Moore,Austin Smotherman,Adrien Dumont De Chassart,"$48,200",237.1,$13.38,+167.7%
80,Ryan Gerard,Max McGreevy,Thorbjorn Olesen,Jackson Suber,Austin Eckroat,Chan Kim,"$49,800",240.4,$17.11,+242.2%
81,Ryan Gerard,Rasmus Hojgaard,Ricky Castillo,Lee Hodges,Adrien Saddier,Zecheng Dou,"$49,200",243.2,$18.45,+268.9%
82,Max McGreevy,Davis Thompson,Thorbjorn Olesen,Max Homa,Beau Hossler,Zecheng Dou,"$48,700",240.3,$16.42,+228.3%
83,Ryan Gerard,Rasmus Neergaard-Petersen,Max Homa,Steven Fisk,Mackenzie Hughes,Matt Wallace,"$48,700",243.6,$19.18,+283.5%
84,Shane Lowry,Daniel Berger,Chad Ramey,Garrick Higgo,Emiliano Grillo,David Ford,"$48,800",239.3,$14.24,+184.7%
85,Shane Lowry,Nicolai Hojgaard,Matti Schmid,Jordan L. Smith,Dylan Wu,Adrien Dumont De Chassart,"$49,200",241.2,$15.30,+206.0%
86,Nicolai Hojgaard,Nicolas Echavarria,Michael Brennan,Joel Dahmen,Jordan L. Smith,Carson Young,"$48,200",240.5,$16.20,+224.0%
87,Rasmus Hojgaard,Davis Thompson,John Parry,Max Homa,Ricky Castillo,Beau Hossler,"$49,800",242.1,$18.82,+276.5%
88,Max McGreevy,Brooks Koepka,Davis Thompson,Ricky Castillo,Jackson Suber,Mackenzie Hughes,"$49,400",238.5,$15.52,+210.4%
89,Rasmus Hojgaard,Brooks Koepka,John Parry,Austin Eckroat,Adrien Saddier,Mackenzie Hughes,"$48,200",240.5,$16.75,+235.0%
90,Aaron Rai,Hao-Tong Li,Michael Brennan,Jordan L. Smith,Kevin Roy,Tom Kim,"$48,200",240.4,$16.86,+237.1%
91,Keith Mitchell,Christiaan Bezuidenhout,Max Homa,Jackson Suber,Austin Eckroat,Chan Kim,"$48,300",237.6,$15.13,+202.6%
92,Nicolai Hojgaard,Aaron Rai,Kristoffer Reitan,Joel Dahmen,Tom Kim,Takumi Kanaya,"$49,600",241.0,$15.15,+202.9%
93,Ryan Gerard,Alex Smalley,Thorbjorn Olesen,Ricky Castillo,Lee Hodges,Sudarshan Yellamaraju,"$49,300",242.7,$19.36,+287.2%
94,Keith Mitchell,Max McGreevy,Thorbjorn Olesen,Steven Fisk,Mackenzie Hughes,Zecheng Dou,"$48,600",241.6,$17.35,+247.1%
95,Shane Lowry,Nicolai Hojgaard,Nicolas Echavarria,Garrick Higgo,Carson Young,Takumi Kanaya,"$49,700",241.1,$15.37,+207.4%
96,Ryan Gerard,Keith Mitchell,Eric Cole,Beau Hossler,Chan Kim,Mackenzie Hughes,"$49,600",241.6,$16.54,+230.9%
97,Rasmus Neergaard-Petersen,Davis Thompson,Alex Smalley,Eric Cole,Jackson Suber,Lee Hodges,"$48,800",236.2,$13.77,+175.3%
98,Shane Lowry,Aaron Rai,Michael Brennan,Kevin Roy,Mark Hubbard,Adrien Dumont De Chassart,"$48,800",240.8,$15.31,+206.2%
99,Ryan Gerard,Keith Mitchell,Max Homa,Austin Eckroat,Adrien Saddier,Daniel Brown,"$49,300",244.3,$23.40,+368.0%
100,Nicolai Hojgaard,Hao-Tong Li,Seamus Power,Joel Dahmen,Jordan L. Smith,Chad Ramey,"$49,500",239.0,$14.00,+180.0%
